iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
2009,3,7,California,Los Angeles,34.05611,-118.42972,,"03/07/2009: Members of the Animal Liberation Brigade set fire to the car of  an neuroscientist working for UCLA,  accusing him of  addicting monkeys to methamphetamines and other  street drugs. The car was parked outside his Westwood residence in California. There were no reported casualties.",0,1,0,7,Facility/Infrastructure Attack,,.,8,Educational Institution,48,Teacher/Professor/Instructor,University of California- Los Angeles,The vehicle of a UCLA neuroscientist was the target of this attack.,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),The specific motive for the attack is unknown.,-99,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,An unknown incendiary device was used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),,"The vehicle of a neuroscientist was set on fire in the attack,",It is unclear if this attack was in response to the arrest of four activists a few weeks prior to this incident.,"Daniel B. Wood,""Animal-Rights Activists Get Personal in Wave of California Attacks,"" Christian Science Monitor, March 31, 2009.","Red Bluff Daily News, ""Animal Research Sparks Ad Campaign,""Red Bluff Daily News, http://infoweb.newsbank.com/iw-search/we/InfoWeb?p_product=NewsBank&p_theme=aggregated5&p_action=doc&p_docid=12BE55069DBA6D88&p_docnum=1&p_queryname=16, November 9, 2009.",,ISVG
2013,11,1,California,Los Angeles,33.941589,-118.40853,,"11/01/2013: An assailant opened fire on Transportation Security Administration (TSA) agents inside Terminal 3 at Los Angeles International Airport (LAX) in Los Angeles, California, United States. At least one agent was killed and four others, including agents and civilians, were wounded in the assault. TSA agents returned fire and injured the assailant. Paul Ciancia claimed responsibility for the incident, stating, in a note found in his apartment, that he wanted to kill and to instill fear in TSA officers.",0,1,0,2,Armed Assault,,.,6,Airports & Aircraft,44,Airport,Los Angeles International Airport (LAX),Terminal 3,217,United States,2,Government (General),18,"Government Personnel (excluding police, military)",Transportation Security Administration (TSA),Agents,217,United States,,.,,.,,,,.,Unaffiliated Individual(s),Paul Ciancia claimed responsibility for the incident and stated that he wanted to instill fear on Transportation Security Administration (TSA) officers.,1,5,Firearms,2,Automatic Weapon,5,Firearms,3,Handgun,,.,,.,,.,,.,A .223 caliber assault rifle and a handgun were used in the attack.,1,1,4,4,1,-9,,.,,It is unknown if any property was damaged in this attack.,,"""FBI: LAX shooter wanted to kill TSA officers,"" CNN, November 5, 2013.","""The LAX shootings, as they happened,"" CBS News, November 4, 2013.","""New details emerge from LAX shooting,"" Jackson Sun, November 4, 2013.",START Primary Collection
1997,3,8,California,Los Angeles,34.187044,-118.381256,,,0,1,0,7,Facility/Infrastructure Attack,,.,5,Abortion Related,40,Clinics,Family Planning Associates,clinic,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),,,8,Incendiary,,.,,.,,.,,.,,.,,.,,.,Incendiary,0,,0,,,1,3,Minor (likely < $1 million),1000,,,,,,PGIS
2015,11,6,California,Ingelwood,33.959535,-118.348342,The incident occurred in Los Angeles county.,"11/06/2015: An assailant attacked a Sikh bus driver in Inglewood city, Los Angeles County, California, United States. The driver, identified as Balwinder Jit Singh, was injured in the attack. An individual identified as K.C. Tard Jr. claimed responsibility for the incident and called Singh a ""terrorist"" and a ""suicide bomber.""",0,1,0,8,Unarmed Assault,,.,14,Private Citizens & Property,69,Religion Identified,Not Applicable,Sikh Civilian: Balwinder Jit Singh,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"An individual, identified as KC Tard Jr., claimed responsibility for the incident and described Balwinder Jit Singh as a ""terrorist"" and a ""suicide bomber.""",1,9,Melee,22,"Hands, Feet, Fists",,.,,.,,.,,.,,.,,.,,0,0,1,1,0,0,,.,,,,"""Man is charged in racially motivated attack on Sikh Metro bus driver, prosecutors say,"" Los Angeles Times, March 3, 2016.","""Sikh bus driver says police didn't recognize hate crime,"" Associated Press, January 15, 2016.","""'Hate crime evidence': Sikh advocacy group criticizes LA authorities over bus driver attack,"" UAE NewsApp.com, January 15, 2016.",START Primary Collection
2002,7,4,California,Los Angeles,34.05349,-118.245319,,"07/04/2002: Hesham Mohamed Hadayet, an Egyptian-born man, opened fired at the El Al Israeli Airlines ticket counter at the Los Angeles Airport (LAX), killing two people and wounding four others. Hadayet was killed by security personel during the attack. Early reports from police and witnesses recount that Hadayet shot the El Al ticket agent, turned his weapon on passengers in line, was then tackled and subdued by a guard who was reportedly stabbed by Hadayet, and was finally shot at by an El Al security guard. CNN reports that US authorities believed that Hadayet espoused anti-Israeli views, opposed US policies in the Middle East, and conducted the attack in the efforts of being a martyr. The victims of the attack were all reportedly Israeli.",0,1,0,2,Armed Assault,,.,6,Airports & Aircraft,44,Airport,Los Angeles International Airport,El Al Israeli Airlines at Los Angeles International Airport,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,Passengers and employees of El Al Israeli Airlines in Los Angeles,97,Israel,,.,,.,,,,.,Unaffiliated Individual(s),The perpetrator espoused anti-Israeli views.,1,5,Firearms,3,Handgun,9,Melee,23,Knife or Other Sharp Object,,.,,.,,.,,.,,3,0,4,1,0,0,,.,,,,"Charles Feldman, ""Los Angeles airport shooting kills 3,"" CNN.com July 5, 2002.","""LAX Guman's apartment searched,"" CBSNews.com, July 5, 2002.",,CETIS
2005,9,0,California,Los Angeles,34.05349,-118.245319,"at residence of Guerdon Stuckey, the  Animal Services General Manager","09/00/2005: Members of the Animal Liberation Front (ALF) claimed responsibility for ignited smoke grenades in the lobby of the residence of Guerdon Stuckey, the  Animal Services General Manager in Los Angeles, California in the United States.  There were no injuries, and the extent of property damage is unknown, if any.  The Animal Defense League and other groups had been appealing for months to the mayor to oust Stuckey from office and go ahead with a no-kill policy at city animal shelters, but they were not seeing desired results.",0,1,0,7,Facility/Infrastructure Attack,,.,2,Government (General),18,"Government Personnel (excluding police, military)",Animal Services Department,"Guerdon Stuckey, Animal Services Director",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),To remove Guerdon Stuckey from his position and implement a no-kill policy at city animal shelters.,-99,8,Incendiary,,.,,.,,.,,.,,.,,.,,.,smoke bomb,0,0,0,0,0,-9,,.,,,,"Rick Orlov, ""At-Home Security OK'D For Workers,"" The Daily News of Los Angeles, October 20, 2005.","""News briefs from California,"" Associated Press, October 22, 2005.","David Zahniser, ""Fired animal services exec challenges termination,"" Copley News Service, December 21, 2005.",Eco Project 2010
2007,10,20,California,Los Angeles,34.05349,-118.245319,The home of Professor London in Beverly Hills neighborhood.,"10/20/2007: No casualties were reported but a house was damaged when an unknown number of Animal Liberation Front (ALF) perpetrators broke a window and diverted a garden hose to flood the home of University of California, Los Angeles (UCLA) Professor Edythe London in Beverly Hills neighborhood, Los Angeles, California, United States.",0,1,0,7,Facility/Infrastructure Attack,,.,8,Educational Institution,48,Teacher/Professor/Instructor,UCLA Professor,Edythe London,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),To stop the victim from experimenting on animals with nicotine and narcotics.,,11,Sabotage Equipment,,.,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),30000,The professor's house suffered between $20 and $40 thousand dollars in damages.,"The flooding caused between $20,000 and $40,000 in damage and  ALF claimed responsibility in a post-incident post to an animal liberation website. The group accused London of addicting animals to nicotine and narcotics for research purposes.","?Animal liberation group claims responsibility for house flooding,? Associated Press State & Local Wire, October 30, 2007.","Edward Truong, ?Activists flood UCLA professor?s home,? University Wire, October 30, 2007.","?House flooded over monkey research,? United Press International, October 30, 2007.",CETIS
2008,2,5,California,Los Angeles,34.05349,-118.245319,,"02/05/2008:  UCLA professor Edythe London?s home was set on fire by suspected activists, causing property damage but resulting in no casualties. The Animal Liberation Fron (ALF) later claimed responsibility for the attack.",0,1,0,7,Facility/Infrastructure Attack,,.,8,Educational Institution,49,School/University/Educational Building,UCLA David Geffen School of Medicine,Edythe London residence,217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),Unknown,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),,London's residence was damaged by the fire,,"Julia Erlandson, ?UCLA researcher?s house targeted again,? University Wire, Feb 06, 2008.","?Fire set at home of UCLA professor,? UPI, Feb 06, 2008.",,CETIS
2010,11,16,California,Los Angeles,34.05349,-118.245319,The incident occurred at the University of Los Angeles.,"11/16/2010: On Tuesday, at the University of Los Angeles, Los Angeles, California, United States, members of the Justice Department, an animal rights group, sent AIDS infected razor blades to Stephanie Groman and David Jentsch, primate vivisectors, with the message to stop vivisection. Officials, however, have not confirmed that the blood on the razors was contaminated with AIDS. The group issued a claim of responsibility through three separate anonymous communiqu?s obtained by the North American Animal Liberation Press Office and the BiteBack magazine website, in addition to issuing more threats that vivisectors' throats would be cut if they did not stop primate vivisection.",0,0,0,8,Unarmed Assault,,.,8,Educational Institution,50,Other Personnel,University of Los Angeles,"Stephanie Groman and David Jentsch, primate vivisectors working for the University of Los Angeles,",217,United States,,.,,.,,,,.,,.,,.,,,,.,The Justice Department,The attack was carried out to protest primate vivisection.,-99,1,Biological,,.,,.,,.,,.,,.,,.,,.,Un unspecified number of razor blades containing blood that was claimed by the perpetrators to be contaminated with AIDS was used in the attack.,0,0,0,0,0,0,,.,,,,"Bite Back, ""UCLA Vivisector Receives Threat,"" Bite Back, November 16, 2010, http://directaction.info/news_nov16_10.htm.","Michael Martinez &, Nick Valencia, ""Activist Group Claims to Send AIDS-Tainted Razors to Animal Researcher,"" CNN, November 24, 2010, http://www.cnn.com/2010/US/11/24/california.ucla.threat/index.html?hpt=T2.","Robert Faturechi, ""UCLA Researcher Says He Won't Be Deterred by Animal Activists' Attacks,"" Los Angeles Times, November 25, 2010, www.latimes.com/health/la-me-targeted-professor-20101125,0,3117053.story.",ISVG
2011,10,12,Washington,Gifford,48.306282,-118.146378,"The incident occurred at Miller's Mink Ranch located on Addy-Gifford Road in Gifford, Washington, United States.","10/12/2011: On Wednesday morning, in Gifford, Washington, United States, animal rights activists entered Miller?s Mink Ranch located on Addy-Gifford Road and took down every breeder card in one of the two large, main sheds. They opened approximately three quarters of the cages, freeing more than one thousand animals. The activists also kidnapped three individuals and released them at different locations later that day, which were not reported. A communiqu? detailing the incident was released to the BiteBack Magazine website, but no group has claimed responsibility.",0,1,0,6,Hostage Taking (Kidnapping),,.,1,Business,9,Farm/Ranch,Miller's Mink Ranch,Miller's Mink Ranch,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,The specific motive for the attack is unknown.,-99,11,Sabotage Equipment,,.,,.,,.,,.,,.,,.,,.,It is unknown if weapons were used in the attack.,0,0,,,0,1,3,Minor (likely < $1 million),,The attack caused an unknown amount of property damage.,,"Bite Back, ""Anonymous Communique Oct 13,"" Bite Back, October 13, 2011, URL http://www.directaction.info/news_oct13_11.htm.","Associated Press, ""Animal Rights Activists Release 1,000 Mink"" Associated Press, October 13, 2011.","Lewiston Morning Tribune, ""Animal Rights Activists Release 1,000 Mink,"" Associated Press, October 14, 2011.",ISVG
